Component,MaxNumCopy,Metric,CopyMean,CI
B,1.00,CopyNum,1.475280,0.002204787293178667
B,2.00,CopyNum,1.311828,0.002057939444826305
B,3.00,CopyNum,1.230038,0.00195879908679036
B,4.00,CopyNum,1.179879,0.0018213745558567085
B,5.00,CopyNum,1.146081,0.0017756438251001672
B,6.00,CopyNum,1.122333,0.0017498615970187085
B,7.00,CopyNum,1.104702,0.0016896567580567334
B,8.00,CopyNum,1.090491,0.0016747658314028493
B,9.00,CopyNum,1.079709,0.001615094567815994
B,10.00,CopyNum,1.070903,0.0015691399707819232
B,11.00,CopyNum,1.063234,0.001527105454170468
B,12.00,CopyNum,1.057043,0.0015319245997918503
B,13.00,CopyNum,1.051762,0.0015085624053976531
B,14.00,CopyNum,1.047353,0.001477574534421072
B,15.00,CopyNum,1.043307,0.0014380668133009479
